"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_COG","MIG - consumer goods","","MIG_COG","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_COG_X_FOOD","MIG - consumer goods (except food, beverages and tobacco)","","MIG_COG_X_FOOD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_COG_ORD","MIG - consumer goods, for new orders","","MIG_COG_ORD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_DCOG","MIG - durable consumer goods","","MIG_DCOG","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_DCOG_ORD","MIG - durable consumer goods, for new orders","","MIG_DCOG_ORD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_NDCOG","MIG - non-durable consumer goods","","MIG_NDCOG","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_NDCOG_ORD","MIG - non-durable consumer goods, for new orders","","MIG_NDCOG_ORD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B","Mining and quarrying","","B","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B05","Mining of coal and lignite","","B05","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B051","Mining of hard coal","","B051","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0510","Mining of hard coal","","B0510","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B052","Mining of lignite","","B052","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0520","Mining of lignite","","B0520","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B06-B09","Mining and quarrying, except mining of coal and lignite","","B06-B09","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B06_B09","Extraction of crude petroleum and natural gas; mining support service activities","","B06_B09","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B06","Extraction of crude petroleum and natural gas","","B06","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B061","Extraction of crude petroleum","","B061","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0610","Extraction of crude petroleum","","B0610","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B062","Extraction of natural gas","","B062","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0620","Extraction of natural gas","","B0620","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B07","Mining of metal ores","","B07","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B071","Mining of iron ores","","B071","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0710","Mining of iron ores","","B0710","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B072","Mining of non-ferrous metal ores","","B072","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0721","Mining of uranium and thorium ores","","B0721","valid","2013-07-25"
