AnzahlFall,Datum,FID,IstErkrankungsbeginn
2.0,2020-03-04 01:00:00,12794387,1.0
2.0,2020-03-04 01:00:00,12795509,1.0
6.0,2020-03-04 01:00:00,12795883,1.0
1.0,2020-03-04 01:00:00,12796257,1.0
2.0,2020-03-04 01:00:00,12797005,1.0
1.0,2020-03-04 01:00:00,12797379,1.0
3.0,2020-03-04 01:00:00,12798501,1.0
3.0,2020-03-04 01:00:00,12799249,1.0
5.0,2020-03-04 01:00:00,12799623,1.0
4.0,2020-03-04 01:00:00,12799997,1.0
1.0,2020-03-04 01:00:00,12799998,0.0
1.0,2020-03-04 01:00:00,12800372,0.0
1.0,2020-03-04 01:00:00,12800746,0.0
1.0,2020-03-04 01:00:00,12801119,1.0
2.0,2020-03-04 01:00:00,12801867,1.0
1.0,2020-03-04 01:00:00,12802241,1.0
8.0,2020-03-04 01:00:00,12802989,1.0
1.0,2020-03-04 01:00:00,12802990,0.0
1.0,2020-03-04 01:00:00,12804485,1.0
1.0,2020-03-04 01:00:00,12805233,1.0
2.0,2020-03-04 01:00:00,12806355,1.0
1.0,2020-03-04 01:00:00,12807103,1.0
5.0,2020-03-04 01:00:00,12807851,1.0
1.0,2020-03-04 01:00:00,12808599,1.0
2.0,2020-03-04 01:00:00,12809347,1.0
7.0,2020-03-04 01:00:00,12809721,1.0
3.0,2020-03-04 01:00:00,12810095,1.0
1.0,2020-03-04 01:00:00,12813461,1.0
2.0,2020-03-04 01:00:00,12814583,1.0
1.0,2020-03-04 01:00:00,12816079,1.0
1.0,2020-03-04 01:00:00,12816827,1.0
1.0,2020-03-04 01:00:00,12817201,1.0
1.0,2020-03-04 01:00:00,12818323,1.0
2.0,2020-03-04 01:00:00,12819071,1.0
1.0,2020-03-04 01:00:00,12820193,1.0
1.0,2020-03-04 01:00:00,12820941,1.0
1.0,2020-03-04 01:00:00,12824307,1.0
1.0,2020-03-04 01:00:00,12824681,1.0
1.0,2020-03-04 01:00:00,12825430,0.0
1.0,2020-03-04 01:00:00,12826551,1.0
2.0,2020-03-04 01:00:00,12828421,1.0
1.0,2020-03-04 01:00:00,12829543,1.0
2.0,2020-03-04 01:00:00,12831039,1.0
1.0,2020-03-04 01:00:00,12832161,1.0
