AnzahlFall,Datum,FID,IstErkrankungsbeginn
1.0,2020-05-16 02:00:00,12785183,1.0
3.0,2020-05-16 02:00:00,12785557,1.0
3.0,2020-05-16 02:00:00,12786305,1.0
1.0,2020-05-16 02:00:00,12786306,0.0
1.0,2020-05-16 02:00:00,12786680,0.0
1.0,2020-05-16 02:00:00,12787053,1.0
3.0,2020-05-16 02:00:00,12787054,0.0
1.0,2020-05-16 02:00:00,12787801,1.0
2.0,2020-05-16 02:00:00,12787802,0.0
1.0,2020-05-16 02:00:00,12788175,1.0
1.0,2020-05-16 02:00:00,12788176,0.0
1.0,2020-05-16 02:00:00,12788549,1.0
4.0,2020-05-16 02:00:00,12788924,0.0
1.0,2020-05-16 02:00:00,12789298,0.0
1.0,2020-05-16 02:00:00,12790046,0.0
1.0,2020-05-16 02:00:00,12790419,1.0
1.0,2020-05-16 02:00:00,12790794,0.0
2.0,2020-05-16 02:00:00,12791916,0.0
1.0,2020-05-16 02:00:00,12792289,1.0
1.0,2020-05-16 02:00:00,12793037,1.0
1.0,2020-05-16 02:00:00,12793785,1.0
1.0,2020-05-16 02:00:00,12794533,1.0
1.0,2020-05-16 02:00:00,12795281,1.0
2.0,2020-05-16 02:00:00,12795655,1.0
1.0,2020-05-16 02:00:00,12795656,0.0
16.0,2020-05-16 02:00:00,12796777,1.0
1.0,2020-05-16 02:00:00,12797526,0.0
1.0,2020-05-16 02:00:00,12799769,1.0
2.0,2020-05-16 02:00:00,12800144,0.0
2.0,2020-05-16 02:00:00,12800892,0.0
1.0,2020-05-16 02:00:00,12802013,1.0
1.0,2020-05-16 02:00:00,12802761,1.0
1.0,2020-05-16 02:00:00,12802762,0.0
3.0,2020-05-16 02:00:00,12803135,1.0
3.0,2020-05-16 02:00:00,12803136,0.0
1.0,2020-05-16 02:00:00,12803510,0.0
1.0,2020-05-16 02:00:00,12804258,0.0
1.0,2020-05-16 02:00:00,12806875,1.0
5.0,2020-05-16 02:00:00,12807250,0.0
1.0,2020-05-16 02:00:00,12807998,0.0
2.0,2020-05-16 02:00:00,12808746,0.0
1.0,2020-05-16 02:00:00,12809120,0.0
1.0,2020-05-16 02:00:00,12809494,0.0
2.0,2020-05-16 02:00:00,12809867,1.0
3.0,2020-05-16 02:00:00,12809868,0.0
1.0,2020-05-16 02:00:00,12810615,1.0
2.0,2020-05-16 02:00:00,12810989,1.0
1.0,2020-05-16 02:00:00,12813233,1.0
1.0,2020-05-16 02:00:00,12813981,1.0
1.0,2020-05-16 02:00:00,12815103,1.0
11.0,2020-05-16 02:00:00,12816225,1.0
3.0,2020-05-16 02:00:00,12816226,0.0
1.0,2020-05-16 02:00:00,12816600,0.0
2.0,2020-05-16 02:00:00,12816973,1.0
1.0,2020-05-16 02:00:00,12817347,1.0
