country,date,type,geo,population,newHospitalizations,deaths,cases,cases_national,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_cases,past_average_new_cases,past_average_new_cases_national,measure_H1_H2_cases,measure_H3_cases,cases_national_JHU,new_cases_national_JHU,past_average_new_cases_national_JHU,measure_H1_H2_cases_JHU,past_average_national_new_cases,policy_active,hetero,hetero_mean,differentiating,hhi_cumulative,hhi_new
France,2020-04-22,Wearing Masks inside public or commercial building,FRK,8005882,137,1133,8202,83503,138,1450,67012883,0.0010244967387728172,0.0012460738332956067,-2.2157709452278948e-4,0.09822401590362023,0.09517241379310344,0.00964795730023464,0.009057788347205706,8183,7805.571428571428,115.14285714285714,142.28571428571428,1469.2857142857142,0.0021925421628042987,0.8105954470820735,154715,-2206,-315.14285714285717,-4.7027204775364933e-4,1469.2857142857142,0,0,0,0,0.198022300698505,0.201339357907253
France,2020-04-22,Primary Schools (generally for children ages 10 and below),FRK,8005882,137,1133,8202,83503,138,1450,67012883,0.0010244967387728172,0.0012460738332956067,-2.2157709452278948e-4,0.09822401590362023,0.09517241379310344,0.00964795730023464,0.009057788347205706,8183,7805.571428571428,115.14285714285714,142.28571428571428,1469.2857142857142,0.0021925421628042987,0.8105954470820735,154715,-2206,-315.14285714285717,-4.7027204775364933e-4,1469.2857142857142,0,0,0,0,0.198022300698505,0.201339357907253
France,2020-04-23,Restrictions of Mass Gatherings,FRK,8005882,139,1167,8318,84731,116,1228,67012883,0.0010389860854806503,0.0012643986679397154,-2.2541258245906506e-4,0.09816950112709634,0.09446254071661238,0.00963725095154297,0.008923171598637652,8292.142857142857,7942.857142857143,109.14285714285714,137.28571428571428,1385.5714285714287,0.0020676194882876904,0.8293646987664856,157026,2311,330.14285714285717,4.926558034264205e-4,1385.5714285714287,1,0,0,1,0.197803714824124,0.185637248140564
France,2020-04-23,Wearing Masks inside public or commercial building,FRK,8005882,139,1167,8318,84731,116,1228,67012883,0.0010389860854806503,0.0012643986679397154,-2.2541258245906506e-4,0.09816950112709634,0.09446254071661238,0.00963725095154297,0.008923171598637652,8292.142857142857,7942.857142857143,109.14285714285714,137.28571428571428,1385.5714285714287,0.0020676194882876904,0.8293646987664856,157026,2311,330.14285714285717,4.926558034264205e-4,1385.5714285714287,0,0,0,0,0.197803714824124,0.185637248140564
France,2020-04-23,Primary Schools (generally for children ages 10 and below),FRK,8005882,139,1167,8318,84731,116,1228,67012883,0.0010389860854806503,0.0012643986679397154,-2.2541258245906506e-4,0.09816950112709634,0.09446254071661238,0.00963725095154297,0.008923171598637652,8292.142857142857,7942.857142857143,109.14285714285714,137.28571428571428,1385.5714285714287,0.0020676194882876904,0.8293646987664856,157026,2311,330.14285714285717,4.926558034264205e-4,1385.5714285714287,0,0,0,0,0.197803714824124,0.185637248140564
France,2020-04-23,Lockdown,FRK,8005882,139,1167,8318,84731,116,1228,67012883,0.0010389860854806503,0.0012643986679397154,-2.2541258245906506e-4,0.09816950112709634,0.09446254071661238,0.00963725095154297,0.008923171598637652,8292.142857142857,7942.857142857143,109.14285714285714,137.28571428571428,1385.5714285714287,0.0020676194882876904,0.8293646987664856,157026,2311,330.14285714285717,4.926558034264205e-4,1385.5714285714287,1,0,0,1,0.197803714824124,0.185637248140564
France,2020-04-24,Primary Schools (generally for children ages 10 and below),FRK,8005882,136,1192,8431,85881,113,1150,67012883,0.0010531007077046602,0.00128155954728884,-2.284588395841797e-4,0.09817072460730546,0.09826086956521739,0.009637491169923408,0.009655198487712664,8393.57142857143,8067.857142857143,101.42857142857143,125,1276.5714285714287,0.0019049641970655532,0.8196227615907042,158636,1610,230,3.432175869824911e-4,1276.5714285714284,0,0,0,0,0.198021610755125,0.21942381852552
France,2020-04-24,Wearing Masks inside public or commercial building,FRK,8005882,136,1192,8431,85881,113,1150,67012883,0.0010531007077046602,0.00128155954728884,-2.284588395841797e-4,0.09817072460730546,0.09826086956521739,0.009637491169923408,0.009655198487712664,8393.57142857143,8067.857142857143,101.42857142857143,125,1276.5714285714287,0.0019049641970655532,0.8196227615907042,158636,1610,230,3.432175869824911e-4,1276.5714285714284,0,0,0,0,0.198021610755125,0.21942381852552
France,2020-04-24,Restrictions of Mass Gatherings,FRK,8005882,136,1192,8431,85881,113,1150,67012883,0.0010531007077046602,0.00128155954728884,-2.284588395841797e-4,0.09817072460730546,0.09826086956521739,0.009637491169923408,0.009655198487712664,8393.57142857143,8067.857142857143,101.42857142857143,125,1276.5714285714287,0.0019049641970655532,0.8196227615907042,158636,1610,230,3.432175869824911e-4,1276.5714285714284,1,0,0,1,0.198021610755125,0.21942381852552
France,2020-04-24,Lockdown,FRK,8005882,136,1192,8431,85881,113,1150,67012883,0.0010531007077046602,0.00128155954728884,-2.284588395841797e-4,0.09817072460730546,0.09826086956521739,0.009637491169923408,0.009655198487712664,8393.57142857143,8067.857142857143,101.42857142857143,125,1276.5714285714287,0.0019049641970655532,0.8196227615907042,158636,1610,230,3.432175869824911e-4,1276.5714285714284,1,0,0,1,0.198021610755125,0.21942381852552
