"","date","region","country","geo","eurostat_total_population_2019","cases","cases_national","new_cases","new_cases_national","sum_pop","measure_H1_H2_cases","measure_H3_cases","cases_national_JHU","new_cases_national_JHU","past_average_new_cases_national_JHU","measure_H1_H2_cases_JHU","deaths","deaths_national","new_deaths","new_deaths_national","deaths_pop_sub","deaths_pop_nat","past_average_new_deaths","past_average_new_deaths_national","measure_H1_H2_deaths","measure_H3_deaths_a","measure_H3_deaths_b"
"97",2020-01-02,"Pays de la Loire","France","FRG",3787400,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"98",2020-01-02,"Provence-Alpes-Côte d'Azur","France","FRL",5048405,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"99",2020-01-02,"Baden-Wuerttemberg","Germany","DE1",11069533,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100",2020-01-02,"Bavaria","Germany","DE2",13076721,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"101",2020-01-02,"Berlin","Germany","DE3",3644826,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"102",2020-01-02,"Brandenburg","Germany","DE4",2511917,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"103",2020-01-02,"Bremen","Germany","DE5",682986,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"104",2020-01-02,"Hamburg","Germany","DE6",1841179,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"105",2020-01-02,"Hesse","Germany","DE7",6265809,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"106",2020-01-02,"Lower Saxony","Germany","DE9",7982448,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"107",2020-01-02,"Mecklenburg-Vorpommern","Germany","DE8",1609675,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"108",2020-01-02,"North Rhine-Westphalia","Germany","DEA",17932651,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"109",2020-01-02,"Rheinland-Pfalz","Germany","DEB",4084844,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"110",2020-01-02,"Saarland","Germany","DEC",990509,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"111",2020-01-02,"Saxony","Germany","DED",4077937,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"112",2020-01-02,"Saxony-Anhalt","Germany","DEE",2208321,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"113",2020-01-02,"Schleswig-Holstein","Germany","DEF",2896712,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"114",2020-01-02,"Thuringia","Germany","DEG",2143145,0,0,0,0,83019213,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"115",2020-01-02,"Abruzzo","Italy","ITF1",1311580,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"116",2020-01-02,"Basilicata","Italy","ITF5",562869,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"117",2020-01-02,"Calabria","Italy","ITF6",1947131,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"118",2020-01-02,"Campania","Italy","ITF3",5801692,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"119",2020-01-02,"Emilia-Romagna","Italy","ITH5",4459477,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"120",2020-01-02,"Friuli Venezia Giulia","Italy",NA,NA,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA
"121",2020-01-02,"Lazio","Italy","ITI4",5879082,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"122",2020-01-02,"Liguria","Italy","ITC3",1550640,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"123",2020-01-02,"Lombardia","Italy","ITC4",10060574,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"124",2020-01-02,"Marche","Italy","ITI3",1525271,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"125",2020-01-02,"Molise","Italy","ITF2",305617,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"126",2020-01-02,"Piemonte","Italy","ITC1",4356406,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"127",2020-01-02,"Puglia","Italy","ITF4",4029053,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
