date,region,cases,cases_national,country,eurostat_total_population_2019,code,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2
2020-01-04,Occitanie,0,0,France,5899209,FRJ,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Pays de la Loire,0,0,France,3787400,FRG,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Provence-Alpes-Côte d'Azur,0,0,France,5048405,FRL,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Baden-Wuerttemberg,0,0,Germany,11069533,DE1,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Bavaria,0,0,Germany,13076721,DE2,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Berlin,0,0,Germany,3644826,DE3,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Brandenburg,0,0,Germany,2511917,DE4,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Bremen,0,0,Germany,682986,DE5,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Hamburg,0,0,Germany,1841179,DE6,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Hesse,0,0,Germany,6265809,DE7,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Lower Saxony,0,0,Germany,7982448,DE9,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Mecklenburg-Vorpommern,0,0,Germany,1609675,DE8,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,North Rhine-Westphalia,0,0,Germany,17932651,DEA,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Rheinland-Pfalz,0,0,Germany,4084844,DEB,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Saarland,0,0,Germany,990509,DEC,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Saxony,0,0,Germany,4077937,DED,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Saxony-Anhalt,0,0,Germany,2208321,DEE,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Schleswig-Holstein,0,0,Germany,2896712,DEF,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Thuringia,0,0,Germany,2143145,DEG,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Abruzzo,0,0,Italy,1311580,ITF1,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Aosta Valley,0,0,Italy,125666,ITC2,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Apulia,0,0,Italy,4029053,ITF4,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Basilicate,0,0,Italy,562869,ITF5,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Calabria,0,0,Italy,1947131,ITF6,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Campania,0,0,Italy,5801692,ITF3,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Emilia-Romagna,0,0,Italy,4459477,ITH5,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Friuli Venezia Giulia,0,0,Italy,1215220,ITH4,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Lazio,0,0,Italy,5879082,ITI4,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
