date,region,country,geo,eurostat_total_population_2019,deaths,deaths_national,new_deaths,new_deaths_national,sum_pop,deaths_pop_sub,deaths_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_deaths,past_average_new_deaths,past_average_new_deaths_national,measure_H1_H2_deaths,measure_H3_deaths_a,measure_H3_deaths_b
2020-01-01,Schaffhausen,Switzerland,CH052,81991,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Schwyz,Switzerland,CH063,159165,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Solothurn,Switzerland,CH023,273194,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Thurgau,Switzerland,CH057,276472,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Ticino,Switzerland,CH070,353343,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Uri,Switzerland,CH062,36433,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Valais,Switzerland,CH012,343955,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Vaud,Switzerland,CH011,799145,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Zug,Switzerland,CH066,126837,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Zurich,Switzerland,CH040,1520968,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Auvergne-Rhône-Alpes,France,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Bourgogne-Franche-Comté,France,FRC,2793333,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Bretagne,France,FRH,3333720,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Centre-Val de Loire,France,FRB,2565258,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Corse,France,FRM,341554,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Grand Est,France,FRF,5525291,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Guadeloupe,France,FRY1,416474,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Guyane,France,FRY3,283539,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Hauts-de-France,France,FRE,5977437,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Île-de-France,France,FR1,12244807,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,La Réunion,France,FRY4,857961,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Martinique,France,FRY2,363484,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Mayotte,France,FRY5,269471,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
