AnzahlFall,FID,Meldedatum,NeuerFall
2.0,11540700.0,2020-03-09 01:00:00,0.0
1.0,11542092.0,2020-03-09 01:00:00,0.0
7.0,11543484.0,2020-03-09 01:00:00,0.0
1.0,11544528.0,2020-03-09 01:00:00,0.0
1.0,11545224.0,2020-03-09 01:00:00,0.0
1.0,11549052.0,2020-03-09 01:00:00,0.0
1.0,11549400.0,2020-03-09 01:00:00,0.0
1.0,11549748.0,2020-03-09 01:00:00,0.0
1.0,11550096.0,2020-03-09 01:00:00,0.0
1.0,11551140.0,2020-03-09 01:00:00,0.0
1.0,11551488.0,2020-03-09 01:00:00,0.0
2.0,11552532.0,2020-03-09 01:00:00,0.0
3.0,11552880.0,2020-03-09 01:00:00,0.0
2.0,11553924.0,2020-03-09 01:00:00,0.0
5.0,11554620.0,2020-03-09 01:00:00,0.0
2.0,11555664.0,2020-03-09 01:00:00,0.0
1.0,11559840.0,2020-03-09 01:00:00,0.0
2.0,11560188.0,2020-03-09 01:00:00,0.0
3.0,11567148.0,2020-03-09 01:00:00,0.0
8.0,11570280.0,2020-03-09 01:00:00,0.0
1.0,11570628.0,2020-03-09 01:00:00,0.0
3.0,11571672.0,2020-03-09 01:00:00,0.0
1.0,11572716.0,2020-03-09 01:00:00,0.0
1.0,11573412.0,2020-03-09 01:00:00,0.0
1.0,11573760.0,2020-03-09 01:00:00,0.0
1.0,11574456.0,2020-03-09 01:00:00,0.0
2.0,11575500.0,2020-03-09 01:00:00,0.0
3.0,11575848.0,2020-03-09 01:00:00,0.0
1.0,11576196.0,2020-03-09 01:00:00,0.0
4.0,11576544.0,2020-03-09 01:00:00,0.0
3.0,11577240.0,2020-03-09 01:00:00,0.0
1.0,11577936.0,2020-03-09 01:00:00,0.0
3.0,11578980.0,2020-03-09 01:00:00,0.0
3.0,11579328.0,2020-03-09 01:00:00,0.0
6.0,11579676.0,2020-03-09 01:00:00,0.0
2.0,11580024.0,2020-03-09 01:00:00,0.0
1.0,11581068.0,2020-03-09 01:00:00,0.0
1.0,11582808.0,2020-03-09 01:00:00,0.0
3.0,11583156.0,2020-03-09 01:00:00,0.0
3.0,11584896.0,2020-03-09 01:00:00,0.0
23.0,11585940.0,2020-03-09 01:00:00,0.0
2.0,11587680.0,2020-03-09 01:00:00,0.0
2.0,11588028.0,2020-03-09 01:00:00,0.0
4.0,11588724.0,2020-03-09 01:00:00,0.0
2.0,11589072.0,2020-03-09 01:00:00,0.0
1.0,11589420.0,2020-03-09 01:00:00,0.0
1.0,11589768.0,2020-03-09 01:00:00,0.0
3.0,11591160.0,2020-03-09 01:00:00,0.0
1.0,11591856.0,2020-03-09 01:00:00,0.0
2.0,11595336.0,2020-03-09 01:00:00,0.0
1.0,11595684.0,2020-03-09 01:00:00,0.0
1.0,11596728.0,2020-03-09 01:00:00,0.0
1.0,11597076.0,2020-03-09 01:00:00,0.0
1.0,11597424.0,2020-03-09 01:00:00,0.0
8.0,11599164.0,2020-03-09 01:00:00,0.0
3.0,11600208.0,2020-03-09 01:00:00,0.0
1.0,11606472.0,2020-03-09 01:00:00,0.0
6.0,11606820.0,2020-03-09 01:00:00,0.0
1.0,11607864.0,2020-03-09 01:00:00,0.0
2.0,11608908.0,2020-03-09 01:00:00,0.0
2.0,11609256.0,2020-03-09 01:00:00,0.0
2.0,11610648.0,2020-03-09 01:00:00,0.0
1.0,11613084.0,2020-03-09 01:00:00,0.0
2.0,11613780.0,2020-03-09 01:00:00,0.0
1.0,11614128.0,2020-03-09 01:00:00,0.0
2.0,11614824.0,2020-03-09 01:00:00,0.0
5.0,11617260.0,2020-03-09 01:00:00,0.0
3.0,11618304.0,2020-03-09 01:00:00,0.0
3.0,11618652.0,2020-03-09 01:00:00,0.0
1.0,11619000.0,2020-03-09 01:00:00,0.0
1.0,11619696.0,2020-03-09 01:00:00,0.0
1.0,11620044.0,2020-03-09 01:00:00,0.0
2.0,11620392.0,2020-03-09 01:00:00,0.0
3.0,11621436.0,2020-03-09 01:00:00,0.0
2.0,11621784.0,2020-03-09 01:00:00,0.0
1.0,11622132.0,2020-03-09 01:00:00,0.0
3.0,11622480.0,2020-03-09 01:00:00,0.0
2.0,11622828.0,2020-03-09 01:00:00,0.0
3.0,11623176.0,2020-03-09 01:00:00,0.0
3.0,11623524.0,2020-03-09 01:00:00,0.0
1.0,11624220.0,2020-03-09 01:00:00,0.0
3.0,11624568.0,2020-03-09 01:00:00,0.0
1.0,11624916.0,2020-03-09 01:00:00,0.0
1.0,11627352.0,2020-03-09 01:00:00,0.0
1.0,11627700.0,2020-03-09 01:00:00,0.0
1.0,11628744.0,2020-03-09 01:00:00,0.0
1.0,11630484.0,2020-03-09 01:00:00,0.0
3.0,11632224.0,2020-03-09 01:00:00,0.0
1.0,11632572.0,2020-03-09 01:00:00,0.0
1.0,11636052.0,2020-03-09 01:00:00,0.0
1.0,11636748.0,2020-03-09 01:00:00,0.0
3.0,11638140.0,2020-03-09 01:00:00,0.0
3.0,11508686.0,2020-03-10 01:00:00,0.0
2.0,11510078.0,2020-03-10 01:00:00,0.0
1.0,11510774.0,2020-03-10 01:00:00,0.0
1.0,11511122.0,2020-03-10 01:00:00,0.0
30.0,11513558.0,2020-03-10 01:00:00,0.0
6.0,11517386.0,2020-03-10 01:00:00,0.0
1.0,11517734.0,2020-03-10 01:00:00,0.0
1.0,11518082.0,2020-03-10 01:00:00,0.0
1.0,11519822.0,2020-03-10 01:00:00,0.0
6.0,11521562.0,2020-03-10 01:00:00,0.0
2.0,11521910.0,2020-03-10 01:00:00,0.0
6.0,11522606.0,2020-03-10 01:00:00,0.0
3.0,11523302.0,2020-03-10 01:00:00,0.0
3.0,11524694.0,2020-03-10 01:00:00,0.0
1.0,11525042.0,2020-03-10 01:00:00,0.0
1.0,11525390.0,2020-03-10 01:00:00,0.0
1.0,11525738.0,2020-03-10 01:00:00,0.0
1.0,11526434.0,2020-03-10 01:00:00,0.0
2.0,11527826.0,2020-03-10 01:00:00,0.0
11.0,11529566.0,2020-03-10 01:00:00,0.0
1.0,11530262.0,2020-03-10 01:00:00,0.0
5.0,11530610.0,2020-03-10 01:00:00,0.0
1.0,11531306.0,2020-03-10 01:00:00,0.0
8.0,11531654.0,2020-03-10 01:00:00,0.0
4.0,11532698.0,2020-03-10 01:00:00,0.0
3.0,11533046.0,2020-03-10 01:00:00,0.0
2.0,11533742.0,2020-03-10 01:00:00,0.0
1.0,11534090.0,2020-03-10 01:00:00,0.0
1.0,11534438.0,2020-03-10 01:00:00,0.0
