country,date,type,centDegStd,hubStd,hubWt,centDegRaw,hubRaw,centDegTheory,hubTheory
Switzerland,2020-01-20,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-21,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-22,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-23,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-24,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-25,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-26,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-27,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-28,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-29,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-30,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-31,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-01,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-02,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-03,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-04,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-05,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-06,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-07,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-08,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-09,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-10,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-11,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-12,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-13,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-14,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-15,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-16,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-17,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-18,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-19,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-20,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-21,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-22,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-23,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-24,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-25,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-26,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-27,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
